set_voltage,it8511_voltage,adc_voltage,it8511_error_mv,adc_error_mv,adc_vs_it8511_mv
3.3,3.31,3.128,10.0,-172.0,-182.0
5.0,5.0,4.806,0.0,-194.0,-194.0
6.0,5.99,5.792,-10.0,-208.0,-198.0
8.0,8.0,7.804,0.0,-196.0,-196.0
10.0,10.0,9.788,0.0,-212.0,-212.0
12.0,11.97,11.77,-30.0,-230.0,-200.0
15.0,14.95,14.74,-50.0,-260.0,-210.0
18.0,17.96,17.752,-40.0,-248.0,-208.0
20.0,19.94,19.736,-60.0,-264.0,-204.0
24.0,23.89,23.68,-110.0,-320.0,-210.0
28.0,27.85,27.64,-150.0,-360.0,-210.0
32.0,32.12,31.92,120.0,-80.0,-200.0
36.0,36.13,35.934,130.0,-66.0,-196.0
40.0,40.11,39.92,110.0,-80.0,-190.0
44.0,44.05,43.87,50.0,-130.0,-180.0
48.0,48.04,47.868,40.0,-132.0,-172.0
50.0,50.03,49.872,30.0,-128.0,-158.0
