set_voltage,it8511_voltage,adc_voltage,it8511_error_mv,adc_error_mv,adc_vs_it8511_mv
3.5,3.51,3.328,9.999999999999787,-172.00000000000014,-181.99999999999994
4.0,4.0,3.81600032,0.0,-183.9996799999999,-183.9996799999999
4.5,4.5,4.314,0.0,-185.99999999999994,-185.99999999999994
5.0,5.0,4.806,0.0,-193.99999999999994,-193.99999999999994
5.5,5.49,5.294,-9.999999999999787,-206.0000000000004,-196.00000000000063
6.0,5.98,5.7900004,-19.999999999999574,-209.99959999999973,-189.99960000000016
6.5,6.48,6.288,-19.999999999999574,-211.99999999999974,-192.00000000000017
7.0,6.98,6.7840002,-19.999999999999574,-215.99979999999962,-195.99980000000005
7.5,7.48,7.2780003,-19.999999999999574,-221.99969999999956,-201.99970000000002
8.0,8.0,7.8040002,0.0,-195.99980000000005,-195.99980000000005
8.5,8.5,8.3,0.0,-199.9999999999993,-199.9999999999993
9.0,9.0,8.8,0.0,-199.9999999999993,-199.9999999999993
9.5,9.5,9.298,0.0,-201.99999999999994,-201.99999999999994
10.0,10.0,9.792001,0.0,-207.99899999999917,-207.99899999999917
10.5,10.48,10.280001,-19.999999999999574,-219.99899999999963,-199.99900000000002
11.0,10.98,10.774,-19.999999999999574,-226.00000000000085,-206.0000000000013
11.5,11.48,11.27,-19.999999999999574,-230.00000000000043,-210.00000000000085
12.0,11.97,11.766001,-29.99999999999936,-233.99900000000073,-203.9990000000014
12.5,12.47,12.268001,-29.99999999999936,-231.99900000000008,-201.9990000000007
13.0,12.96,12.752001,-39.99999999999915,-247.99900000000008,-207.99900000000093
13.5,13.46,13.252001,-39.99999999999915,-247.99900000000008,-207.99900000000093
14.0,13.96,13.754001,-39.99999999999915,-245.9989999999994,-205.99900000000025
14.5,14.45,14.246,-50.00000000000071,-253.99999999999955,-203.99999999999886
15.0,14.95,14.742001,-50.00000000000071,-257.99899999999985,-207.99899999999917
15.5,15.44,15.236001,-60.0000000000005,-263.9990000000001,-203.9989999999996
16.0,15.97,15.764001,-29.99999999999936,-235.99899999999963,-205.99900000000025
16.5,16.47,16.254002,-30.000000000001137,-245.99800000000016,-215.99799999999902
17.0,16.96,16.754002,-39.99999999999915,-245.99800000000016,-205.998000000001
17.5,17.46,17.248002,-39.99999999999915,-251.9980000000004,-211.99800000000124
18.0,17.96,17.754002,-39.99999999999915,-245.99800000000016,-205.998000000001
18.5,18.46,18.248002,-39.99999999999915,-251.9980000000004,-211.99800000000124
19.0,18.95,18.738,-50.00000000000071,-262.00000000000045,-211.99999999999974
19.5,19.45,19.236,-50.00000000000071,-263.9999999999993,-213.99999999999864
20.0,19.94,19.738,-59.99999999999872,-262.00000000000045,-202.00000000000173
20.5,20.42,20.204,-79.9999999999983,-295.9999999999994,-216.00000000000108
21.0,20.91,20.7,-89.99999999999986,-300.0000000000007,-210.00000000000085
21.5,21.4,21.192002,-100.00000000000142,-307.9980000000013,-207.9979999999999
22.0,21.9,21.694,-100.00000000000142,-306.0000000000009,-205.99999999999952
22.5,22.4,22.188002,-100.00000000000142,-311.99799999999914,-211.9979999999977
23.0,22.9,22.688002,-100.00000000000142,-311.99799999999914,-211.9979999999977
23.5,23.39,23.188002,-109.99999999999943,-311.99799999999914,-201.99799999999968
24.0,23.89,23.676,-109.99999999999943,-324.0000000000016,-214.0000000000022
24.5,24.38,24.174002,-120.000000000001,-325.99799999999846,-205.99799999999746
25.0,24.88,24.670002,-120.000000000001,-329.9979999999998,-209.9979999999988
25.5,25.36,25.158,-140.00000000000057,-341.99999999999875,-201.99999999999818
26.0,25.85,25.652,-149.99999999999858,-347.999999999999,-198.0000000000004
26.5,26.35,26.142002,-149.99999999999858,-357.99799999999846,-207.9979999999999
27.0,26.85,26.6440016,-149.99999999999858,-355.99840000000074,-205.99840000000214
27.5,27.34,27.132002,-160.00000000000014,-367.99800000000005,-207.9979999999999
28.0,27.84,27.646002,-160.00000000000014,-353.99800000000073,-193.99800000000056
28.5,28.34,28.134,-160.00000000000014,-365.99999999999966,-205.99999999999952
29.0,28.83,28.624,-170.0000000000017,-376.00000000000125,-205.99999999999952
29.5,29.33,29.128002,-170.0000000000017,-371.9980000000014,-201.99799999999968
30.0,29.82,29.62,-179.99999999999972,-379.999999999999,-199.9999999999993
30.5,30.32,30.114002,-179.99999999999972,-385.99800000000073,-205.998000000001
31.0,30.81,30.61,-190.00000000000128,-390.00000000000057,-199.9999999999993
31.5,31.3,31.106,-199.9999999999993,-393.99999999999835,-193.99999999999906
32.0,32.12,31.920002,119.99999999999744,-79.99799999999979,-199.99799999999723
32.5,32.62,32.414,119.99999999999744,-85.99999999999852,-205.99999999999596
33.0,33.12,32.920002,119.99999999999744,-79.99800000000334,-199.9980000000008
33.5,33.62,33.424,119.99999999999744,-76.00000000000051,-195.99999999999795
34.0,34.11,33.916,109.99999999999943,-84.00000000000318,-194.00000000000261
34.5,34.61,34.41,109.99999999999943,-90.00000000000341,-200.00000000000284
35.0,35.11,34.916,109.99999999999943,-84.00000000000318,-194.00000000000261
35.5,35.6,35.398004,100.00000000000142,-101.99599999999975,-201.99600000000117
36.0,36.13,35.932004,130.00000000000256,-67.99600000000083,-197.9960000000034
36.5,36.62,36.428,119.99999999999744,-72.00000000000273,-192.00000000000017
37.0,37.11,36.924004,109.99999999999943,-75.9960000000035,-185.99600000000294
37.5,37.62,37.426004,119.99999999999744,-73.99600000000106,-193.9959999999985
38.0,38.1,37.914,100.00000000000142,-85.99999999999852,-185.99999999999994
38.5,38.62,38.424004,119.99999999999744,-75.9960000000035,-195.99600000000095
39.0,39.11,38.924004,109.99999999999943,-75.9960000000035,-185.99600000000294
39.5,39.6,39.414,100.00000000000142,-85.99999999999852,-185.99999999999994
40.0,40.11,39.9200032,109.99999999999943,-79.99680000000353,-189.99680000000296
40.5,40.6,40.414,100.00000000000142,-85.99999999999852,-185.99999999999994
41.0,41.06,40.876004,60.000000000002274,-123.99599999999822,-183.9960000000005
41.5,41.56,41.374,60.000000000002274,-125.99999999999767,-185.99999999999994
42.0,42.05,41.864004,49.99999999999716,-135.99599999999867,-185.99599999999583
42.5,42.55,42.370004,49.99999999999716,-129.99599999999845,-179.9959999999956
43.0,43.04,42.854004,39.99999999999915,-145.99599999999668,-185.99599999999583
43.5,43.54,43.370004,39.99999999999915,-129.99599999999845,-169.9959999999976
44.0,44.04,43.864004,39.99999999999915,-135.99599999999867,-175.99599999999782
44.5,44.53,44.356004,30.000000000001137,-143.99600000000135,-173.99600000000248
45.0,45.04,44.864004,39.99999999999915,-135.99599999999867,-175.99599999999782
45.5,45.53,45.356004,30.000000000001137,-143.99600000000135,-173.99600000000248
46.0,46.05,45.878004,49.99999999999716,-121.99600000000288,-171.99600000000004
46.5,46.55,46.376004,49.99999999999716,-123.99599999999822,-173.99599999999538
47.0,47.04,46.864004,39.99999999999915,-135.99599999999867,-175.99599999999782
47.5,47.54,47.372,39.99999999999915,-128.0000000000001,-167.99999999999926
48.0,48.03,47.864004,30.000000000001137,-135.99599999999867,-165.9959999999998
48.5,48.54,48.370004,39.99999999999915,-129.99599999999845,-169.9959999999976
49.0,49.04,48.870004,39.99999999999915,-129.99599999999845,-169.9959999999976
49.5,49.53,49.362004,30.000000000001137,-137.99600000000112,-167.99600000000225
50.0,50.03,49.870004,30.000000000001137,-129.99599999999845,-159.99599999999958
