set_voltage,it8511_voltage,adc_voltage_corrected,adc_vs_it8511_mv,board_number,hardware_id
3.5,3.52,3.5319784,11.978399999999834,2,RP2350_B1F4049F
4.0,4.01,4.0269656,16.965599999999803,2,RP2350_B1F4049F
4.5,4.51,4.519922,9.92200000000043,2,RP2350_B1F4049F
5.0,5.02,5.022869,2.8690000000004545,2,RP2350_B1F4049F
5.5,5.51,5.5197764,9.776399999999796,2,RP2350_B1F4049F
6.0,6.01,6.0146528,4.652800000000568,2,RP2350_B1F4049F
6.5,6.51,6.507498,-2.501999999999782,2,RP2350_B1F4049F
7.0,7.01,7.00832836,-1.6716399999996412,2,RP2350_B1F4049F
7.5,7.51,7.5031216,-6.878399999999729,2,RP2350_B1F4049F
8.0,8.04,8.031939,-8.060999999999652,2,RP2350_B1F4049F
8.5,8.54,8.53068,-9.319999999998885,2,RP2350_B1F4049F
9.0,9.04,9.021381,-18.618999999999275,2,RP2350_B1F4049F
9.5,9.53,9.520067,-9.933000000000192,2,RP2350_B1F4049F
10.0,10.04,10.02273,-17.269999999999897,2,RP2350_B1F4049F
10.5,10.53,10.515351,-14.64899999999858,2,RP2350_B1F4049F
11.0,11.03,11.017958,-12.04199999999922,2,RP2350_B1F4049F
11.5,11.53,11.508521,-21.47899999999936,2,RP2350_B1F4049F
12.0,12.03,12.013072,-16.928000000000054,2,RP2350_B1F4049F
12.5,12.53,12.505584,-24.41599999999866,2,RP2350_B1F4049F
13.0,13.02,13.000068,-19.93199999999895,2,RP2350_B1F4049F
13.5,13.53,13.504534,-25.465999999999767,2,RP2350_B1F4049F
14.0,14.02,13.992958,-27.04199999999979,2,RP2350_B1F4049F
14.5,14.52,14.499369,-20.630999999999844,2,RP2350_B1F4049F
15.0,15.03,14.9977452,-32.254799999998696,2,RP2350_B1F4049F
15.5,15.52,15.488088,-31.912000000000162,2,RP2350_B1F4049F
16.0,16.06,16.024432,-35.567999999997824,2,RP2350_B1F4049F
16.5,16.57,16.526724,-43.27599999999876,2,RP2350_B1F4049F
17.0,17.07,17.030988,-39.0119999999996,2,RP2350_B1F4049F
17.5,17.57,17.527222,-42.77800000000198,2,RP2350_B1F4049F
18.0,18.06,18.021424,-38.575999999999055,2,RP2350_B1F4049F
18.5,18.56,18.5156,-44.39999999999955,2,RP2350_B1F4049F
19.0,19.06,19.0157484,-44.25159999999906,2,RP2350_B1F4049F
19.5,19.56,19.517872,-42.12799999999817,2,RP2350_B1F4049F
20.0,20.07,20.013964,-56.035999999998864,2,RP2350_B1F4049F
20.5,20.55,20.504028,-45.971999999999014,2,RP2350_B1F4049F
21.0,21.05,21.000064,-49.93600000000242,2,RP2350_B1F4049F
21.5,21.55,21.504072,-45.92799999999997,2,RP2350_B1F4049F
22.0,22.05,22.006052,-43.94800000000032,2,RP2350_B1F4049F
22.5,22.56,22.502004,-57.99599999999927,2,RP2350_B1F4049F
23.0,23.05,22.989932,-60.06800000000112,2,RP2350_B1F4049F
23.5,23.54,23.487826,-52.17400000000083,2,RP2350_B1F4049F
24.0,24.04,23.979696,-60.30399999999858,2,RP2350_B1F4049F
24.5,24.55,24.491532,-58.4680000000013,2,RP2350_B1F4049F
25.0,25.05,24.985346,-64.65400000000088,2,RP2350_B1F4049F
25.5,25.53,25.471134,-58.86600000000186,2,RP2350_B1F4049F
26.0,26.03,25.96689,-63.110000000001776,2,RP2350_B1F4049F
26.5,26.53,26.468614,-61.38600000000238,2,RP2350_B1F4049F
27.0,27.03,26.970314,-59.68600000000279,2,RP2350_B1F4049F
27.5,27.53,27.463988,-66.01200000000063,2,RP2350_B1F4049F
28.0,28.02,27.957632,-62.36799999999931,2,RP2350_B1F4049F
28.5,28.52,28.45325,-66.74999999999898,2,RP2350_B1F4049F
29.0,29.02,28.952836,-67.16399999999823,2,RP2350_B1F4049F
29.5,29.53,29.450394,-79.60600000000184,2,RP2350_B1F4049F
30.0,30.03,29.949922,-80.07800000000032,2,RP2350_B1F4049F
30.5,30.53,30.449422,-80.5780000000027,2,RP2350_B1F4049F
31.0,31.01,30.934912,-75.08800000000093,2,RP2350_B1F4049F
31.5,31.51,31.434354,-75.64600000000254,2,RP2350_B1F4049F
32.0,32.24,32.159496,-80.5040000000048,2,RP2350_B1F4049F
32.5,32.75,32.66287,-87.13000000000193,2,RP2350_B1F4049F
33.0,33.25,33.162212,-87.78800000000331,2,RP2350_B1F4049F
33.5,33.76,33.671516,-88.48400000000112,2,RP2350_B1F4049F
34.0,34.25,34.166812,-83.18799999999982,2,RP2350_B1F4049F
34.5,34.76,34.666072,-93.92799999999824,2,RP2350_B1F4049F
35.0,35.26,35.169296,-90.70399999999523,2,RP2350_B1F4049F
35.5,35.76,35.662512,-97.48799999999846,2,RP2350_B1F4049F
36.0,36.25,36.151704,-98.29599999999772,2,RP2350_B1F4049F
36.5,36.74,36.6468616,-93.13840000000084,2,RP2350_B1F4049F
37.0,37.24,37.147976,-92.0240000000021,2,RP2350_B1F4049F
37.5,37.75,37.653056,-96.94400000000059,2,RP2350_B1F4049F
38.0,38.24,38.144136,-95.86399999999884,2,RP2350_B1F4049F
38.5,38.76,38.657144,-102.85599999999562,2,RP2350_B1F4049F
39.0,39.26,39.15415,-105.84999999999667,2,RP2350_B1F4049F
39.5,39.76,39.655124,-104.8759999999973,2,RP2350_B1F4049F
40.0,40.27,40.168044,-101.95600000000127,2,RP2350_B1F4049F
40.5,40.77,40.654988,-115.01200000000011,2,RP2350_B1F4049F
41.0,41.25,41.135916,-114.0839999999983,2,RP2350_B1F4049F
41.5,41.75,41.63678,-113.21999999999832,2,RP2350_B1F4049F
42.0,42.24,42.133616,-106.38399999999848,2,RP2350_B1F4049F
42.5,42.75,42.634428,-115.57200000000023,2,RP2350_B1F4049F
43.0,43.25,43.131208,-118.79199999999912,2,RP2350_B1F4049F
43.5,43.76,43.639936,-120.06399999999928,2,RP2350_B1F4049F
44.0,44.26,44.14464,-115.35999999999547,2,RP2350_B1F4049F
44.5,44.76,44.635352,-124.64800000000054,2,RP2350_B1F4049F
45.0,45.27,45.142,-128.0000000000001,2,RP2350_B1F4049F
45.5,45.76,45.638636,-121.3639999999998,2,RP2350_B1F4049F
46.0,46.24,46.119296,-120.70400000000348,2,RP2350_B1F4049F
46.5,46.75,46.619872,-130.12799999999913,2,RP2350_B1F4049F
47.0,47.24,47.116432,-123.56799999999879,2,RP2350_B1F4049F
47.5,47.75,47.614956,-135.0440000000006,2,RP2350_B1F4049F
48.0,48.25,48.121424,-128.57600000000247,2,RP2350_B1F4049F
48.5,48.76,48.623884,-136.11600000000124,2,RP2350_B1F4049F
49.0,49.26,49.130296,-129.7039999999967,2,RP2350_B1F4049F
49.5,49.76,49.62073,-139.26999999999623,2,RP2350_B1F4049F
50.0,50.27,50.1290784,-140.92160000000575,2,RP2350_B1F4049F
