set_voltage,it8511_voltage,adc_voltage,adc_vs_it8511_mv,board_number,hardware_id
3.5,3.5,3.338,-161.99999999999991,3,RP2350_E9322CC4
4.0,4.01,3.83200032,-177.99967999999967,3,RP2350_E9322CC4
4.5,4.5,4.3240004,-175.99959999999993,3,RP2350_E9322CC4
5.0,5.0,4.8180004,-181.99960000000016,3,RP2350_E9322CC4
5.5,5.49,5.3040004,-185.9996000000006,3,RP2350_E9322CC4
6.0,5.99,5.8040004,-185.9996000000006,3,RP2350_E9322CC4
6.5,6.48,6.294,-186.00000000000082,3,RP2350_E9322CC4
7.0,6.98,6.7860003,-193.9997,3,RP2350_E9322CC4
7.5,7.47,7.274,-195.99999999999972,3,RP2350_E9322CC4
8.0,8.02,7.82200036,-197.9996399999999,3,RP2350_E9322CC4
8.5,8.51,8.312,-198.0000000000004,3,RP2350_E9322CC4
9.0,9.01,8.812,-198.0000000000004,3,RP2350_E9322CC4
9.5,9.51,9.304001,-205.99900000000025,3,RP2350_E9322CC4
10.0,10.01,9.8,-209.9999999999991,3,RP2350_E9322CC4
10.5,10.5,10.292001,-207.99899999999917,3,RP2350_E9322CC4
11.0,10.99,10.778001,-211.99900000000048,3,RP2350_E9322CC4
11.5,11.49,11.272,-217.99999999999997,3,RP2350_E9322CC4
12.0,11.99,11.77,-220.00000000000063,3,RP2350_E9322CC4
12.5,12.48,12.262001,-217.9990000000007,3,RP2350_E9322CC4
13.0,12.98,12.76,-220.00000000000063,3,RP2350_E9322CC4
13.5,13.47,13.248001,-221.99900000000028,3,RP2350_E9322CC4
14.0,13.97,13.742001,-227.9990000000005,3,RP2350_E9322CC4
14.5,14.47,14.244,-226.00000000000085,3,RP2350_E9322CC4
15.0,14.96,14.730001,-229.99900000000116,3,RP2350_E9322CC4
15.5,15.48,15.242001,-237.9990000000003,3,RP2350_E9322CC4
16.0,16.02,15.780001,-239.99899999999917,3,RP2350_E9322CC4
16.5,16.5,16.258002,-241.99799999999883,3,RP2350_E9322CC4
17.0,17.0,16.756,-243.99999999999977,3,RP2350_E9322CC4
17.5,17.5,17.2620016,-237.9983999999986,3,RP2350_E9322CC4
18.0,17.99,17.748002,-241.99799999999883,3,RP2350_E9322CC4
18.5,18.49,18.252,-237.99999999999955,3,RP2350_E9322CC4
19.0,18.99,18.740002,-249.99799999999794,3,RP2350_E9322CC4
19.5,19.47,19.220002,-249.99799999999794,3,RP2350_E9322CC4
20.0,19.97,19.726002,-243.99799999999772,3,RP2350_E9322CC4
20.5,20.46,20.214,-246.00000000000222,3,RP2350_E9322CC4
21.0,20.96,20.706002,-253.99799999999928,3,RP2350_E9322CC4
21.5,21.46,21.204,-256.0000000000002,3,RP2350_E9322CC4
22.0,21.94,21.686,-254.00000000000134,3,RP2350_E9322CC4
22.5,22.44,22.184002,-255.99800000000172,3,RP2350_E9322CC4
23.0,22.93,22.672,-257.9999999999991,3,RP2350_E9322CC4
23.5,23.43,23.164002,-265.9979999999997,3,RP2350_E9322CC4
24.0,23.93,23.666,-263.9999999999993,3,RP2350_E9322CC4
24.5,24.41,24.146002,-263.99800000000084,3,RP2350_E9322CC4
25.0,24.91,24.6440016,-265.99840000000086,3,RP2350_E9322CC4
25.5,25.41,25.146002,-263.99800000000084,3,RP2350_E9322CC4
26.0,25.91,25.646002,-263.99800000000084,3,RP2350_E9322CC4
26.5,26.41,26.142002,-267.9979999999986,3,RP2350_E9322CC4
27.0,26.89,26.62,-269.99999999999955,3,RP2350_E9322CC4
27.5,27.39,27.124,-266.0000000000018,3,RP2350_E9322CC4
28.0,27.88,27.61,-269.99999999999955,3,RP2350_E9322CC4
28.5,28.38,28.098002,-281.997999999998,3,RP2350_E9322CC4
29.0,28.88,28.606,-273.9999999999974,3,RP2350_E9322CC4
29.5,29.36,29.084002,-275.9979999999978,3,RP2350_E9322CC4
30.0,29.86,29.582,-277.9999999999987,3,RP2350_E9322CC4
30.5,30.36,30.082,-277.9999999999987,3,RP2350_E9322CC4
31.0,30.89,30.606,-283.9999999999989,3,RP2350_E9322CC4
31.5,31.39,31.106,-283.9999999999989,3,RP2350_E9322CC4
32.0,32.18,31.896002,-283.9980000000004,3,RP2350_E9322CC4
32.5,32.68,32.394,-286.00000000000136,3,RP2350_E9322CC4
33.0,33.14,32.854,-286.00000000000136,3,RP2350_E9322CC4
33.5,33.65,33.362004,-287.9959999999997,3,RP2350_E9322CC4
34.0,34.14,33.854,-286.00000000000136,3,RP2350_E9322CC4
34.5,34.65,34.36,-289.99999999999915,3,RP2350_E9322CC4
35.0,35.15,34.862004,-287.9959999999997,3,RP2350_E9322CC4
35.5,35.64,35.356004,-283.9960000000019,3,RP2350_E9322CC4
36.0,36.14,35.848004,-291.9959999999975,3,RP2350_E9322CC4
36.5,36.63,36.348004,-281.99599999999947,3,RP2350_E9322CC4
